query,Iteration,--base Total Energy (J),index Total Energy (J),compression Total Energy (J),index-and-compression Total Energy (J)
18,20,356.359,256.22,276.931,274.403
18,21,351.659,263.757,277.4,275.335
18,22,355.612,260.48,271.286,272.48
18,23,348.078,258.088,277.899,278.468
18,24,337.924,264.926,270.621,278.751
18,25,275.774,262.315,280.001,276.867
18,26,274.986,258.858,276.502,278.053
18,27,278.925,260.352,275.53,282.935
18,28,275.231,270.304,281.329,276.922
18,29,279.221,260.763,275.057,273.635
18,30,280.275,259.403,281.914,273.096
19,1,54.4236,1.77351,55.7691,1.66366
19,2,57.2618,0.767444,53.1977,0.644829
19,3,54.8838,0.803712,52.1991,0.400869
19,4,50.8856,0.858543,54.132,0.57254
19,5,56.3072,0.603177,52.5952,0.632646
19,6,54.5082,0.603429,53.937,0.456044
19,7,56.3229,0.619892,53.8311,0.620882
19,8,52.3503,0.60687,56.8017,0.468642
19,9,55.0853,0.477326,53.0138,0.509963
19,10,58.1586,0.377168,53.7628,0.658858
19,11,54.8414,1.05073,55.4987,0.508177
19,12,55.1076,0.564223,53.635,0.411342
19,13,53.2321,0.388066,52.2564,0.592632
19,14,54.7998,0.492787,56.0084,0.580825
19,15,55.6185,0.495746,53.7142,0.547114
19,16,52.8925,0.966086,54.2797,1.31898
19,17,54.5193,0.293771,55.1161,0.503554
19,18,54.8967,0.446751,58.511,0.606677
19,19,55.6538,0.685188,46.7884,0.601618
19,20,55.4673,0.731752,54.8072,0.581036
19,21,55.8787,0.603715,52.6038,0.433904
19,22,55.0828,0.471075,51.6146,0.545717
19,23,57.1524,0.530094,54.6347,0.518712
19,24,55.8194,0.767774,54.2149,0.557509
19,25,54.0732,0.736202,52.9123,0.54487
19,26,56.2334,0.466994,51.6109,0.460039
19,27,54.3153,1.00424,57.3726,0.568019
19,28,51.2992,0.890442,51.6998,0.636682
19,29,55.5377,0.55218,52.7432,0.483891
19,30,56.4236,0.846956,53.4526,0.325468
20,1,72.801,60.0884,68.6869,59.324
20,2,73.1903,59.8503,67.7928,60.1514
20,3,70.5014,60.4405,68.6187,61.3621
20,4,63.7213,59.0014,69.1541,58.6369
20,5,67.8376,58.8577,71.3205,67.1487
20,6,65.3015,60.8662,59.6716,59.3107
20,7,60.7983,61.6892,60.6632,60.2409
20,8,61.6391,59.4132,64.1014,61.2185
20,9,70.0176,58.19,60.4171,58.327
20,10,62.6305,63.2874,58.3231,59.9466
20,11,67.7969,58.6536,59.5154,60.4041
20,12,63.1621,58.5403,63.1879,61.0258
20,13,66.1083,60.4288,62.9793,60.9799
20,14,60.1717,61.9227,61.6711,59.1641
20,15,60.3837,59.3578,70.2819,60.4982
20,16,70.1935,62.6081,65.6403,62.448
20,17,61.6734,64.1498,68.1024,61.4168
20,18,72.9903,61.3147,62.0973,62.9541
20,19,67.5276,59.3267,61.29,64.4885
20,20,61.0547,58.7546,67.7681,59.4216
20,21,63.7433,59.9018,72.8123,59.5621
20,22,64.1023,59.1355,59.2901,64.253
20,23,61.8633,60.7832,60.0727,63.7742
20,24,71.6869,60.5893,68.7742,66.3403
20,25,63.3145,63.5416,61.6473,60.9822
20,26,64.4144,63.6186,59.1431,60.7976
